STATE OF NEW HAMPSHIRE,,,,,,,,,,,,,,,
DEPARTMENT OF ADMINISTRATIVE SERVICES - BUDGET OFFICE,,,,,,,,,,,,,,,
AGENCY FY26 - FY27 BUDGET SUMMISSION - BUDGET VERSION: 2026B01,,,,,,,,,,,,,,,
RUN DATE: 10/08/2024,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Category of Government,Department,Agency,Activity,Fund,Acct Unit,Record Type,Class,FY24 Actual ,FY25 Adj Auth,FY26 Efficiency ,FY26 Prioritized Needs,FY26 Total Request,FY27 Efficiency,FY27 Prioritized Needs,FY27 Total Request
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,ADM232015-DIVISION OF ADMINISTRATION,015-Highway Fund,34610000-ROAD TOLL BUREAU,Position,FTE1-Permanent Classified,20,20,18,1,19,18,1,19
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,11230000-SP INTELLIGENCE ANALYSTS,Expense,010-Personal Services-Perm. Classi,"126,228","142,066","141,755",0,"141,755","146,912",0,"146,912"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,11230000-SP INTELLIGENCE ANALYSTS,Expense,018-Overtime,"7,744",0,0,0,0,0,0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,11230000-SP INTELLIGENCE ANALYSTS,Expense,020-Current Expenses,0,650,650,0,650,650,0,650
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,11230000-SP INTELLIGENCE ANALYSTS,Expense,038-Technology - Software,0,"35,000","35,000",0,"35,000","35,000",0,"35,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,11230000-SP INTELLIGENCE ANALYSTS,Expense,039-Telecommunications,590,"1,250","1,250",0,"1,250","1,250",0,"1,250"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,11230000-SP INTELLIGENCE ANALYSTS,Expense,049-Transfer to Other State Agenci,94,99,97,0,97,97,0,97
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,11230000-SP INTELLIGENCE ANALYSTS,Expense,060-Benefits,"72,437","102,554","81,532",0,"81,532","86,443",0,"86,443"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,11230000-SP INTELLIGENCE ANALYSTS,Expense,066-Employee training,0,900,900,0,900,900,0,900
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,11230000-SP INTELLIGENCE ANALYSTS,Expense,080-Out-Of State Travel,0,"4,800","4,800",0,"4,800","4,800",0,"4,800"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,11230000-SP INTELLIGENCE ANALYSTS,Funding,000-Federal Funds,"207,093","287,319","265,984",0,"265,984","276,052",0,"276,052"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,11230000-SP INTELLIGENCE ANALYSTS,Position,FTE1-Permanent Classified,2,2,2,0,2,2,0,2
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,22980000-HOMELAND SECURITY GRANTS,Expense,010-Personal Services-Perm. Classi,"28,787","57,556","49,530",0,"49,530","51,424",0,"51,424"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,22980000-HOMELAND SECURITY GRANTS,Expense,018-Overtime,"11,326","26,800","20,000",0,"20,000","20,000",0,"20,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,22980000-HOMELAND SECURITY GRANTS,Expense,020-Current Expenses,"15,733","19,000","18,000",0,"18,000","13,888",0,"13,888"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,22980000-HOMELAND SECURITY GRANTS,Expense,021-Food for Institutions and Depts,0,"1,000",0,0,0,0,0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,22980000-HOMELAND SECURITY GRANTS,Expense,022-Rents-Leases Other Than State,"1,524","2,000","2,000",0,"2,000","2,000",0,"2,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,22980000-HOMELAND SECURITY GRANTS,Expense,029-Intra-Agency Transfers,"506,339","611,175","671,217",0,"671,217","671,217",0,"671,217"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,22980000-HOMELAND SECURITY GRANTS,Expense,030-Equipment New/Replacement,"12,218","6,500","5,000",0,"5,000","5,000",0,"5,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,22980000-HOMELAND SECURITY GRANTS,Expense,037-Technology - Hardware,0,"1,500","1,500",0,"1,500","1,500",0,"1,500"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,22980000-HOMELAND SECURITY GRANTS,Expense,038-Technology - Software,0,"1,000","1,000",0,"1,000","1,000",0,"1,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,22980000-HOMELAND SECURITY GRANTS,Expense,039-Telecommunications,"1,208","4,050","2,625",0,"2,625","2,625",0,"2,625"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,22980000-HOMELAND SECURITY GRANTS,Expense,040-Indirect Costs,"26,222","48,117","27,500",0,"27,500","27,500",0,"27,500"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,22980000-HOMELAND SECURITY GRANTS,Expense,041-Audit Fund Set Aside,"4,165","5,000","5,000",0,"5,000","5,000",0,"5,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,22980000-HOMELAND SECURITY GRANTS,Expense,046-Consultants,"32,198","200,000","75,000",0,"75,000","75,000",0,"75,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,22980000-HOMELAND SECURITY GRANTS,Expense,049-Transfer to Other State Agenci,"21,480",0,0,0,0,0,0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,22980000-HOMELAND SECURITY GRANTS,Expense,050-Personal Service-Temp/Appointe,0,"32,000","30,000",0,"30,000","30,000",0,"30,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,22980000-HOMELAND SECURITY GRANTS,Expense,"057-Books, Periodicals, Subscripti",0,0,"5,000",0,"5,000","5,000",0,"5,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,22980000-HOMELAND SECURITY GRANTS,Expense,060-Benefits,"25,280","43,048","41,456",0,"41,456","43,675",0,"43,675"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,22980000-HOMELAND SECURITY GRANTS,Expense,070-In-State Travel Reimbursement,0,500,500,0,500,500,0,500
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,22980000-HOMELAND SECURITY GRANTS,Expense,072-Grants-Federal,"3,012,698","3,026,000","2,549,285",0,"2,549,285","2,549,285",0,"2,549,285"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,22980000-HOMELAND SECURITY GRANTS,Expense,080-Out-Of State Travel,0,"4,750","4,750",0,"4,750","4,750",0,"4,750"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,22980000-HOMELAND SECURITY GRANTS,Expense,085-Interagency Transfers out of F,"279,337","110,000","175,000",0,"175,000","175,000",0,"175,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,22980000-HOMELAND SECURITY GRANTS,Expense,103-Contracts for Op Services,0,750,"750,000",0,"750,000","750,000",0,"750,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,22980000-HOMELAND SECURITY GRANTS,Funding,000-Federal Funds,"3,978,515","4,200,746","4,434,363",0,"4,434,363","4,434,364",0,"4,434,364"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,22980000-HOMELAND SECURITY GRANTS,Position,FTE1-Permanent Classified,1,1,1,0,1,1,0,1
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,30820000-BUREAU OF HEARINGS TRANSCRIBIN,Expense,103-Contracts for Op Services,"4,567","7,030","7,030",0,"7,030","7,030",0,"7,030"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,30820000-BUREAU OF HEARINGS TRANSCRIBIN,Funding,009-Agency Income,"4,567","7,030","7,030",0,"7,030","7,030",0,"7,030"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,50030000-AERIAL LIFT SAFETY,Expense,010-Personal Services-Perm. Classi,"182,954","183,877","199,607",0,"199,607","199,958",0,"199,958"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,50030000-AERIAL LIFT SAFETY,Expense,018-Overtime,"11,197","14,000","14,500",0,"14,500","14,500",0,"14,500"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,50030000-AERIAL LIFT SAFETY,Expense,020-Current Expenses,"10,315","16,275","16,295",0,"16,295","16,375",0,"16,375"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,50030000-AERIAL LIFT SAFETY,Expense,022-Rents-Leases Other Than State,0,0,300,0,300,300,0,300
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,50030000-AERIAL LIFT SAFETY,Expense,024-Maint.Other Than Build.- Grnds,0,400,200,0,200,200,0,200
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,50030000-AERIAL LIFT SAFETY,Expense,026-Organizational Dues,0,700,700,0,700,700,0,700
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,50030000-AERIAL LIFT SAFETY,Expense,027-Transfers To Oit,"5,694","11,627",0,0,0,0,0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,50030000-AERIAL LIFT SAFETY,Expense,028-Transfers to Plant & Prop,"2,697","2,462","2,867",0,"2,867","2,906",0,"2,906"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,50030000-AERIAL LIFT SAFETY,Expense,029-Intra-Agency Transfers,"4,793","8,881","7,268",0,"7,268","8,309",0,"8,309"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,50030000-AERIAL LIFT SAFETY,Expense,030-Equipment New/Replacement,"28,337","40,000",0,0,0,"35,600",0,"35,600"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,50030000-AERIAL LIFT SAFETY,Expense,037-Technology - Hardware,0,"1,500","1,500",0,"1,500","1,500",0,"1,500"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,50030000-AERIAL LIFT SAFETY,Expense,038-Technology - Software,0,400,400,0,400,400,0,400
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,50030000-AERIAL LIFT SAFETY,Expense,039-Telecommunications,"2,226","3,300","2,960",0,"2,960","2,960",0,"2,960"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,50030000-AERIAL LIFT SAFETY,Expense,049-Transfer to Other State Agenci,94,99,97,0,97,97,0,97
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,50030000-AERIAL LIFT SAFETY,Expense,050-Personal Service-Temp/Appointe,"40,306","42,796","43,787",0,"43,787","43,787",0,"43,787"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,50030000-AERIAL LIFT SAFETY,Expense,"057-Books, Periodicals, Subscripti","1,000","1,000","1,500",0,"1,500","1,500",0,"1,500"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,50030000-AERIAL LIFT SAFETY,Expense,060-Benefits,"76,553","81,054","86,353",0,"86,353","89,165",0,"89,165"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,50030000-AERIAL LIFT SAFETY,Expense,065-Board Expenses,"1,829","2,400","2,500",0,"2,500","2,500",0,"2,500"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,50030000-AERIAL LIFT SAFETY,Expense,066-Employee training,0,"1,200","1,600",0,"1,600","1,600",0,"1,600"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,50030000-AERIAL LIFT SAFETY,Expense,070-In-State Travel Reimbursement,0,800,800,0,800,800,0,800
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,50030000-AERIAL LIFT SAFETY,Expense,080-Out-Of State Travel,993,"4,900","4,900",0,"4,900","5,000",0,"5,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,50030000-AERIAL LIFT SAFETY,Expense,089-Transfer to DAS Maintenance Fu,416,208,162,0,162,162,0,162
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,50030000-AERIAL LIFT SAFETY,Funding,009-Agency Income,"369,404","417,879","388,296",0,"388,296","428,319",0,"428,319"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,50030000-AERIAL LIFT SAFETY,Position,FTE1-Permanent Classified,2,2,2,0,2,2,0,2
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,51250000-HEARINGS-HSA GRANTS,Expense,020-Current Expenses,0,200,200,0,200,200,0,200
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,51250000-HEARINGS-HSA GRANTS,Expense,039-Telecommunications,729,"4,170","4,170",0,"4,170","4,170",0,"4,170"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,51250000-HEARINGS-HSA GRANTS,Expense,040-Indirect Costs,"32,381","35,645","36,180",0,"36,180","36,723",0,"36,723"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,51250000-HEARINGS-HSA GRANTS,Expense,049-Transfer to Other State Agenci,0,99,0,0,0,0,0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,51250000-HEARINGS-HSA GRANTS,Expense,059-Temp Full Time,"145,590","235,610","153,758",0,"153,758","153,758",0,"153,758"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,51250000-HEARINGS-HSA GRANTS,Expense,060-Benefits,"70,841","122,988","79,310",0,"79,310","82,821",0,"82,821"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,51250000-HEARINGS-HSA GRANTS,Expense,070-In-State Travel Reimbursement,"5,894","9,000","7,000",0,"7,000","9,000",0,"9,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,51250000-HEARINGS-HSA GRANTS,Expense,080-Out-Of State Travel,0,"5,000","5,000",0,"5,000","5,000",0,"5,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,51250000-HEARINGS-HSA GRANTS,Funding,004-Intra-Agency Transfers,"255,435","412,712","285,618",0,"285,618","291,672",0,"291,672"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,72130000-HLS NONPROFIT SECURITY GRANTS,Expense,018-Overtime,"1,637","16,800","1,000",0,"1,000","1,000",0,"1,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,72130000-HLS NONPROFIT SECURITY GRANTS,Expense,020-Current Expenses,265,"23,984","2,500",0,"2,500","2,500",0,"2,500"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,72130000-HLS NONPROFIT SECURITY GRANTS,Expense,039-Telecommunications,0,600,0,0,0,0,0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,72130000-HLS NONPROFIT SECURITY GRANTS,Expense,040-Indirect Costs,971,"6,018","6,200",0,"6,200","6,200",0,"6,200"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,72130000-HLS NONPROFIT SECURITY GRANTS,Expense,041-Audit Fund Set Aside,133,"1,000","1,519",0,"1,519","1,519",0,"1,519"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,72130000-HLS NONPROFIT SECURITY GRANTS,Expense,050-Personal Service-Temp/Appointe,"3,349",0,0,0,0,0,0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,72130000-HLS NONPROFIT SECURITY GRANTS,Expense,060-Benefits,"1,578","3,256",208,0,208,207,0,207
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,72130000-HLS NONPROFIT SECURITY GRANTS,Expense,072-Grants-Federal,"454,877","950,000","950,000",0,"950,000","950,000",0,"950,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,72130000-HLS NONPROFIT SECURITY GRANTS,Funding,000-Federal Funds,"462,810","1,001,658","961,427",0,"961,427","961,426",0,"961,426"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,75410000-NHTSA GRANTS,Expense,010-Personal Services-Perm. Classi,"209,131","248,065","344,690",0,"344,690","352,558",0,"352,558"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,75410000-NHTSA GRANTS,Expense,018-Overtime,695,"5,600",750,0,750,750,0,750
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,75410000-NHTSA GRANTS,Expense,020-Current Expenses,851,"9,400","9,400",0,"9,400","9,400",0,"9,400"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,75410000-NHTSA GRANTS,Expense,029-Intra-Agency Transfers,"76,702","301,989","296,989",0,"296,989","296,989",0,"296,989"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,75410000-NHTSA GRANTS,Expense,037-Technology - Hardware,0,0,"4,000",0,"4,000",0,0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,75410000-NHTSA GRANTS,Expense,039-Telecommunications,"3,479","9,000","8,000",0,"8,000","9,000",0,"9,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,75410000-NHTSA GRANTS,Expense,040-Indirect Costs,"93,103","136,808","138,860",0,"138,860","140,943",0,"140,943"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,75410000-NHTSA GRANTS,Expense,041-Audit Fund Set Aside,"2,600","3,239","3,239",0,"3,239","3,239",0,"3,239"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,75410000-NHTSA GRANTS,Expense,046-Consultants,"18,900","50,000","45,000",0,"45,000","45,000",0,"45,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,75410000-NHTSA GRANTS,Expense,049-Transfer to Other State Agenci,182,192,194,0,194,194,0,194
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,75410000-NHTSA GRANTS,Expense,050-Personal Service-Temp/Appointe,"134,673","199,081","148,246",0,"148,246","152,693",0,"152,693"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,75410000-NHTSA GRANTS,Expense,060-Benefits,"121,367","162,731","211,125",0,"211,125","222,547",0,"222,547"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,75410000-NHTSA GRANTS,Expense,066-Employee training,"3,449","5,000","5,000",0,"5,000","5,000",0,"5,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,COM231010-OFFICE OF COMMISSIONER,010-General Fund,75410000-NHTSA GRANTS,Expense,070-In-State Travel Reimbursement,85,"5,400","5,400",0,"5,400","5,400",0,"5,400"
