Agency Title,Agency Code,Fiscal Year,Effective Date,Account,Account Type,Account Category (Ex),Account Summary (Ex),Goal,Funds,Fund Title,Fund Category,Vendor,Amount,Agency Title 
"Health and Welfare, Department of",270,2024,2024-01-29,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,200,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-01-30,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,495,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-05-06,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,180,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-01-31,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,290,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-05-07,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,3480,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-02-06,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,2975.95,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-02-08,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,1985,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-04-11,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,305,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-02-09,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,194.74,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-04-17,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,20,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-02-12,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,1180,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-04-18,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,1010,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-02-13,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,3605,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-04-19,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,845,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-02-15,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,245,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-04-16,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,8819,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-02-16,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,4190,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-04-23,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,3720,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-02-20,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,1640,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-04-12,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,1170,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-02-21,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,2682.56,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-04-15,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,1250,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-02-22,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,3105,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-02-23,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,250,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-04-09,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,6016.59,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-02-27,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,35,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-03-07,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,3520,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-03-08,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,2210,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-03-11,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,186.09,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-03-12,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,1925,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-03-13,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,75,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-03-14,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,3530,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-07-10,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,3170,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-03-15,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,1480,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-07-11,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,7645,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-03-18,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,4290,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-07-13,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,788.02,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-03-19,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,3759.98,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-07-14,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,975,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-03-21,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,3425,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-07-19,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,20165.27,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-03-25,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,20,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-07-21,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,2052,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-03-27,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,120,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-07-24,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,295,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-07-25,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,1275,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-07-27,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,115,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-07-28,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,665,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-08-08,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,3830,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-08-09,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,315.6,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-08-11,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,4320.33,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-08-14,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,4315,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-08-15,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,4335.34,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-08-16,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,50,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-08-17,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,379.5,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-08-18,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,8850,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-08-21,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,7110,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-08-22,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,480,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-08-28,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,75,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-08-29,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,205,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-09-07,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,40,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-05-13,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,2780,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-05-14,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,2710,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-05-15,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,20,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-05-16,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,1405,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-05-20,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,5170,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-05-21,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,2739.66,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-05-22,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,3455,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-05-23,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,-2990,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-05-24,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,625,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-05-29,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,20,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-06-03,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,55,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-06-04,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,30,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-06-07,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,135,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-06-11,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,5005.29,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-06-13,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,30,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-06-14,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,1117,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-06-18,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,4037.89,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-06-17,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,3317.24,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-06-21,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,4775,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-06-20,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,4668,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-05-10,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,4325,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-05-01,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,3165,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-06-25,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,4030.1,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-06-26,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,6435,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-06-27,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,20,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-06-28,425500,Revenue,,,Health And Human Services,17500,Domestic Violence Project Acct,Dedicated,,295,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-07-14,433033,Revenue,,,Health And Human Services,19200,Time Sensitive Emergency Registry Fund,Other,,385,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-09-01,460000,Revenue,,,Health And Human Services,21600,Rural Nursing Loan Repayment Fund,Dedicated,,0,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-06-01,460000,Revenue,,,Health And Human Services,21600,Rural Nursing Loan Repayment Fund,Dedicated,,7291.47,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-07-01,460000,Revenue,,,Health And Human Services,21902,Hospital Assessment Fund: Hospital Provider Tax-Dsh,Dedicated,,23.51,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-08-01,460000,Revenue,,,Health And Human Services,21902,Hospital Assessment Fund: Hospital Provider Tax-Dsh,Dedicated,,31.67,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-09-01,460000,Revenue,,,Health And Human Services,21902,Hospital Assessment Fund: Hospital Provider Tax-Dsh,Dedicated,,0,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-06-01,460000,Revenue,,,Health And Human Services,21902,Hospital Assessment Fund: Hospital Provider Tax-Dsh,Dedicated,,72700.91,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-04-10,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,75,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-10-02,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,100,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-04-17,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,195,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-10-03,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,145,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-04-18,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,75,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-10-04,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,75,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-04-19,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,50,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-10-05,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,75,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-04-16,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,120,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-10-06,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,85,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-04-03,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,250,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-07-05,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,25,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-10-10,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,50,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-04-04,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,25,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-07-06,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,25,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-10-12,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,100,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-04-05,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,210,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-07-07,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,50,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-10-13,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,60,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-04-08,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,170,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-07-10,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,120,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-10-16,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,35,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-04-09,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,125,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-07-11,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,50,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-10-17,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,60,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-04-12,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,145,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-07-12,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,85,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-10-18,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,75,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2024-04-15,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,85,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-07-13,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,35,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-10-19,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,70,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-07-14,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,75,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-10-23,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,35,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-07-17,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,85,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-10-25,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,50,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-07-18,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,120,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-10-26,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,25,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-07-19,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,50,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-10-27,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,75,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-07-20,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,95,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-10-30,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,50,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-07-21,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,60,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-11-01,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,60,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-07-24,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,35,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-11-02,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,25,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-07-26,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,50,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-11-06,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,35,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-07-27,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,85,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-11-09,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,25,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-07-28,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,35,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-11-14,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,35,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-07-31,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,85,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-11-20,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,70,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-08-01,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,85,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-11-21,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,25,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-08-02,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,95,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-11-24,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,25,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-08-03,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,50,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-11-27,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,25,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-08-04,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,25,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-11-30,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,25,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-08-07,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,25,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-12-01,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,35,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-08-08,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,95,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-12-06,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,70,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-08-09,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,50,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-12-07,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,70,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-08-10,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,50,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-12-08,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,25,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-08-11,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,25,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-12-11,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,60,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-08-14,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,75,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-12-13,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,60,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-08-15,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,50,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-12-15,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,35,"Health and Welfare, Department of"
"Health and Welfare, Department of",270,2024,2023-08-16,457601,Revenue,,,Health And Human Services,22000,Cooperative Welfare Fund,Other,,60,"Health and Welfare, Department of"
