STATE OF NEW HAMPSHIRE,,,,,,,,,,,
DEPARTMENT OF ADMINISTRATIVE SERVICES - BUDGET OFFICE,,,,,,,,,,,
GOVERNOR'S FY24 - FY25 RECOMMENDED BUDGET - BUDGET VERSION: 2024F01,,,,,,,,,,,
RUN DATE: 02/08/2023,,,,,,,,,,,
,,,,,,,,,,,
Category of Government,Department,Agency,Activity,Fund,Acct Unit,Record Type,Class,FY22 Actual ,FY23 Adj Auth,FY24 Gov Recommend,FY25 Gov Recommend
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,DSP234015-DIVISION OF STATE POLICE,015-Highway Fund,56380000-STATE POLICE FORENSIC LAB,Expense,064-Ret-Pension Bene-Health Ins,0,"96,190",0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,DSP234015-DIVISION OF STATE POLICE,015-Highway Fund,56380000-STATE POLICE FORENSIC LAB,Expense,066-Employee training,"14,208","9,200","15,700","16,200"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,DSP234015-DIVISION OF STATE POLICE,015-Highway Fund,56380000-STATE POLICE FORENSIC LAB,Expense,070-In-State Travel Reimbursement,23,"5,500","3,000","3,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,DSP234015-DIVISION OF STATE POLICE,015-Highway Fund,56380000-STATE POLICE FORENSIC LAB,Expense,080-Out-Of State Travel,"19,686","35,100","28,800","30,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,DSP234015-DIVISION OF STATE POLICE,015-Highway Fund,56380000-STATE POLICE FORENSIC LAB,Expense,103-Contracts for Op Services,"192,806","216,700","244,200","259,200"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,DSP234015-DIVISION OF STATE POLICE,015-Highway Fund,56380000-STATE POLICE FORENSIC LAB,Expense,211-Property and Casualty Insuranc,0,"3,344",0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,DSP234015-DIVISION OF STATE POLICE,015-Highway Fund,56380000-STATE POLICE FORENSIC LAB,Funding,00S-General Fund,"-3,751,658","-5,438,132","-4,962,285","-5,244,250"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,DSP234015-DIVISION OF STATE POLICE,015-Highway Fund,56380000-STATE POLICE FORENSIC LAB,Funding,00S-Highway Fund,"-1,845,700","-2,586,164","-2,675,369","-2,820,927"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,DSP234015-DIVISION OF STATE POLICE,015-Highway Fund,56380000-STATE POLICE FORENSIC LAB,Position,FTE1-Permanent Classified,44,44,45,45
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Expense,010-Personal Services-Perm. Classi,"5,909,027","7,023,716","6,787,296","6,935,098"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Expense,011-Personal Services-Unclassified,"125,935","133,055","127,504","127,504"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Expense,018-Overtime,"306,316","200,000","350,000","350,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Expense,019-Holiday Pay,"85,854","105,000","110,000","115,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Expense,020-Current Expenses,"96,195","103,090","127,655","127,961"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Expense,022-Rents-Leases Other Than State,"27,702","28,500","29,655","30,361"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Expense,023-Heat- Electricity - Water,"57,828","58,407","77,597","79,666"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Expense,024-Maint.Other Than Build.- Grnds,0,500,500,500
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Expense,026-Organizational Dues,"2,721","3,250","3,500","4,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Expense,027-Transfers To Oit,"65,939","105,403","107,075","113,671"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Expense,028-Transfers to Plant & Property,"72,522","95,873","143,536","115,947"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Expense,029-Intra-Agency Transfers,"118,321",0,"166,053","200,954"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Expense,030-Equipment New/Replacement,"41,018","1,000","32,500","32,500"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Expense,037-Technology - Hardware,"246,633","140,000","177,500","145,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Expense,038-Technology - Software,"792,246","573,500","993,000","1,013,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Expense,039-Telecommunications,"1,140,788","957,000","1,168,200","1,168,200"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Expense,044-Debt Service Other Agencies,"228,800","221,160","213,520","205,881"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Expense,046-Consultants,"36,708","30,000","48,000","28,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Expense,047-Own Forces Maint.-Build.-Grnds,136,"1,500","1,500","1,500"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Expense,049-Transfer to Other State Agenci,0,"44,474","5,522","5,846"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Expense,050-Personal Service-Temp/Appointe,"193,818","314,158","358,609","358,609"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Expense,"057-Books, Periodicals, Subscripti","1,827","2,000","2,500","2,500"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Expense,060-Benefits,"3,548,409","4,380,532","4,317,757","4,538,887"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Expense,064-Ret-Pension Bene-Health Ins,0,"137,414",0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Expense,066-Employee training,"44,522","50,500","60,500","60,500"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Expense,070-In-State Travel Reimbursement,"11,935","46,100","12,000","12,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Expense,080-Out-Of State Travel,"13,148","6,050","18,000","18,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Expense,089-Transfer to DAS Maintenance Fu,"8,390","8,390","8,388","8,388"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Expense,103-Contracts for Op Services,"75,469","211,500","78,300","79,700"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Expense,211-Property and Casualty Insuranc,"4,247","7,460",0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Expense,230-Interpreter Services,"62,676","27,000","75,000","75,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Funding,009-Agency Income,"-13,319,130","-15,016,532","-15,601,167","-15,954,173"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Funding,00S-General Fund,0,0,0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Position,FTE1-Permanent Classified,118,118,117,117
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,13950000-BUR OF EMERGENCY COMMUNICATION,Position,FTE2-Unclassified Positions,1,1,1,1
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,33230000-POISON CONTROL,Expense,102-Contracts for program services,"25,000","25,000","25,000","25,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,33230000-POISON CONTROL,Funding,009-Agency Income,"-25,000","-25,000","-25,000","-25,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,40010000-COMMUNICATIONS SECTION,Expense,010-Personal Services-Perm. Classi,"771,456","865,470","815,519","836,656"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,40010000-COMMUNICATIONS SECTION,Expense,018-Overtime,"109,106","40,000","60,000","60,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,40010000-COMMUNICATIONS SECTION,Expense,019-Holiday Pay,520,500,500,500
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,40010000-COMMUNICATIONS SECTION,Expense,020-Current Expenses,"67,438","69,797","140,338","140,543"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,40010000-COMMUNICATIONS SECTION,Expense,022-Rents-Leases Other Than State,"61,007","93,337","93,800","94,800"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,40010000-COMMUNICATIONS SECTION,Expense,023-Heat- Electricity - Water,"83,159","70,055","103,255","105,992"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,40010000-COMMUNICATIONS SECTION,Expense,024-Maint.Other Than Build.- Grnds,0,500,500,500
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,40010000-COMMUNICATIONS SECTION,Expense,026-Organizational Dues,461,750,"1,000","1,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,40010000-COMMUNICATIONS SECTION,Expense,027-Transfers To Oit,"56,108","110,672","112,429","119,355"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,40010000-COMMUNICATIONS SECTION,Expense,029-Intra-Agency Transfers,"33,456",0,"55,924","66,781"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,40010000-COMMUNICATIONS SECTION,Expense,030-Equipment New/Replacement,"45,311","23,500","179,500","130,500"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,40010000-COMMUNICATIONS SECTION,Expense,037-Technology - Hardware,"12,495","8,000","8,000","8,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,40010000-COMMUNICATIONS SECTION,Expense,038-Technology - Software,"61,290","35,000","57,000","59,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,40010000-COMMUNICATIONS SECTION,Expense,039-Telecommunications,"61,432","44,500","103,500","105,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,40010000-COMMUNICATIONS SECTION,Expense,046-Consultants,"11,790","20,000","1,000","1,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,40010000-COMMUNICATIONS SECTION,Expense,048-Contractual Maint.-Build-Grnds,0,500,500,500
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,40010000-COMMUNICATIONS SECTION,Expense,049-Transfer to Other State Agenci,0,497,600,635
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,40010000-COMMUNICATIONS SECTION,Expense,050-Personal Service-Temp/Appointe,0,0,"48,310","48,310"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,40010000-COMMUNICATIONS SECTION,Expense,"057-Books, Periodicals, Subscripti",0,500,600,600
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,40010000-COMMUNICATIONS SECTION,Expense,060-Benefits,"426,447","486,003","466,728","490,250"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,40010000-COMMUNICATIONS SECTION,Expense,064-Ret-Pension Bene-Health Ins,0,"63,669",0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,40010000-COMMUNICATIONS SECTION,Expense,066-Employee training,105,"1,500","5,100","5,300"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,40010000-COMMUNICATIONS SECTION,Expense,070-In-State Travel Reimbursement,"1,367","26,350","1,600","1,600"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,40010000-COMMUNICATIONS SECTION,Expense,080-Out-Of State Travel,"3,188","1,150","3,500","3,500"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,40010000-COMMUNICATIONS SECTION,Expense,103-Contracts for Op Services,"485,424","385,000","396,000","400,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,40010000-COMMUNICATIONS SECTION,Expense,211-Property and Casualty Insuranc,0,"5,172",0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,40010000-COMMUNICATIONS SECTION,Funding,009-Agency Income,"-2,291,560","-2,352,422","-2,655,203","-2,680,322"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,40010000-COMMUNICATIONS SECTION,Position,FTE1-Permanent Classified,13,13,12,12
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,49660000-BTOP/BROADBAND COMMUNICATION,Expense,010-Personal Services-Perm. Classi,"64,675","67,673","68,527","69,639"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,49660000-BTOP/BROADBAND COMMUNICATION,Expense,018-Overtime,"9,027","7,500","12,000","12,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,49660000-BTOP/BROADBAND COMMUNICATION,Expense,020-Current Expenses,"9,138","15,360","18,900","16,500"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,49660000-BTOP/BROADBAND COMMUNICATION,Expense,030-Equipment New/Replacement,"12,932","32,500","26,100","19,600"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,49660000-BTOP/BROADBAND COMMUNICATION,Expense,037-Technology - Hardware,0,0,"10,000","10,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,49660000-BTOP/BROADBAND COMMUNICATION,Expense,038-Technology - Software,"3,097",100,"10,000","10,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,49660000-BTOP/BROADBAND COMMUNICATION,Expense,039-Telecommunications,0,0,"5,000","5,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,49660000-BTOP/BROADBAND COMMUNICATION,Expense,046-Consultants,"18,600","5,000",0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,49660000-BTOP/BROADBAND COMMUNICATION,Expense,049-Transfer to Other State Agenci,0,45,44,47
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,49660000-BTOP/BROADBAND COMMUNICATION,Expense,060-Benefits,"35,417","37,241","38,340","40,036"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,49660000-BTOP/BROADBAND COMMUNICATION,Expense,070-In-State Travel Reimbursement,0,125,100,100
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,49660000-BTOP/BROADBAND COMMUNICATION,Expense,080-Out-Of State Travel,"8,544","1,100","1,000","6,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,49660000-BTOP/BROADBAND COMMUNICATION,Expense,103-Contracts for Op Services,"20,167","25,000","59,000","60,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,49660000-BTOP/BROADBAND COMMUNICATION,Expense,211-Property and Casualty Insuranc,0,9,0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,49660000-BTOP/BROADBAND COMMUNICATION,Funding,009-Agency Income,"-181,597","-191,653","-249,011","-248,922"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,EMC236510-EMERGENCY COMMUNICATIONS,010-General Fund,49660000-BTOP/BROADBAND COMMUNICATION,Position,FTE1-Permanent Classified,1,1,1,1
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,13650000-BUILDING CODE REVIEW BOARD,Expense,020-Current Expenses,947,"2,750","8,400","8,900"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,13650000-BUILDING CODE REVIEW BOARD,Expense,022-Rents-Leases Other Than State,0,0,100,100
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,13650000-BUILDING CODE REVIEW BOARD,Expense,026-Organizational Dues,75,300,200,200
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,13650000-BUILDING CODE REVIEW BOARD,Expense,029-Intra-Agency Transfers,0,0,310,343
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,13650000-BUILDING CODE REVIEW BOARD,Expense,030-Equipment New/Replacement,"25,952",0,0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,13650000-BUILDING CODE REVIEW BOARD,Expense,037-Technology - Hardware,"1,535",0,0,0
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,13650000-BUILDING CODE REVIEW BOARD,Expense,039-Telecommunications,122,"2,000","2,000","2,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,13650000-BUILDING CODE REVIEW BOARD,Expense,046-Consultants,0,"1,500","1,000","1,000"
02-ADMIN OF JUSTICE AND PUBLIC PRTN,00023-SAFETY DEPT,023-SAFETY DEPT,FSF238010-FIRE SAFETY,010-General Fund,13650000-BUILDING CODE REVIEW BOARD,Expense,050-Personal Service-Temp/Appointe,"9,884","25,664","29,070","29,070"
