STATE OF NEW HAMPSHIRE,,,,,,,,,,,,,,,
DEPARTMENT OF ADMINISTRATIVE SERVICES - BUDGET OFFICE,,,,,,,,,,,,,,,
AGENCY FY26 - FY27 BUDGET SUMMISSION - BUDGET VERSION: 2026B01,,,,,,,,,,,,,,,
RUN DATE: 10/08/2024,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Category of Government,Department,Agency,Activity,Fund,Acct Unit,Record Type,Class,FY24 Actual ,FY25 Adj Auth,FY26 Efficiency ,FY26 Prioritized Needs,FY26 Total Request,FY27 Efficiency,FY27 Prioritized Needs,FY27 Total Request
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,10500000-TREASURY OPERATIONS,Expense,022-Rents-Leases Other Than State,2713,3850,3850,0,3850,3850,0,3850
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,10500000-TREASURY OPERATIONS,Expense,026-Organizational Dues,6455,8600,8600,0,8600,9000,0,9000
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,10500000-TREASURY OPERATIONS,Expense,027-Transfers To Oit,32591,56629,31807,48,31855,32351,26,32377
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,10500000-TREASURY OPERATIONS,Expense,028-Transfers to Plant & Prop,57439,86571,50192,3218,53410,49851,2651,52502
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,10500000-TREASURY OPERATIONS,Expense,030-Equipment New/Replacement,0,6000,6000,0,6000,6000,0,6000
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,10500000-TREASURY OPERATIONS,Expense,037-Technology - Hardware,0,2500,4834,0,4834,4926,0,4926
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,10500000-TREASURY OPERATIONS,Expense,038-Technology - Software,3949,4323,3641,0,3641,3852,0,3852
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,10500000-TREASURY OPERATIONS,Expense,039-Telecommunications,9758,12740,11800,0,11800,11800,0,11800
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,10500000-TREASURY OPERATIONS,Expense,040-Indirect Costs,0,0,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,10500000-TREASURY OPERATIONS,Expense,042-Additional Fringe Benefits,6442,4600,12055,0,12055,11654,0,11654
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,10500000-TREASURY OPERATIONS,Expense,049-Transfer to Other State Agenci,11099,321,9105,0,9105,9105,0,9105
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,10500000-TREASURY OPERATIONS,Expense,"057-Books, Periodicals, Subscripti",0,300,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,10500000-TREASURY OPERATIONS,Expense,060-Benefits,240180,265538,429594,0,429594,452536,0,452536
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,10500000-TREASURY OPERATIONS,Expense,062-Workers Compensation,3450,4820,4285,0,4285,4524,0,4524
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,10500000-TREASURY OPERATIONS,Expense,066-Employee training,230,3500,3500,0,3500,3500,0,3500
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,10500000-TREASURY OPERATIONS,Expense,070-In-State Travel Reimbursement,191,1325,1325,0,1325,1325,0,1325
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,10500000-TREASURY OPERATIONS,Expense,080-Out-Of State Travel,256,3000,3000,0,3000,3000,0,3000
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,10500000-TREASURY OPERATIONS,Expense,089-Transfer to DAS Maintenance Fu,4375,4375,2900,0,2900,2900,0,2900
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,10500000-TREASURY OPERATIONS,Expense,103-Contracts for Op Services,351,500,500,0,500,550,0,550
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,10500000-TREASURY OPERATIONS,Expense,211-Property and Casualty Insuranc,0,0,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,10500000-TREASURY OPERATIONS,Expense,226-Replacement Checks,0,1,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,10500000-TREASURY OPERATIONS,Funding,001-Transfer from Other Agencies,56321,58063,63566,0,63566,64472,0,64472
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,10500000-TREASURY OPERATIONS,Funding,004-Intra-Agency Transfers,140802,147561,225717,0,225717,229175,0,229175
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,10500000-TREASURY OPERATIONS,Funding,008-Agency Income,2144,0,0,0,0,0,0,0
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,10500000-TREASURY OPERATIONS,Funding,009-Agency Income,0,0,3541,0,3541,3425,0,3425
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,10500000-TREASURY OPERATIONS,Funding,00S-General Fund,716409,838144,1068712,3266,1071978,1101524,2677,1104201
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,10500000-TREASURY OPERATIONS,Position,FTE1-Permanent Classified,4,4,8,0,8,8,0,8
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,10500000-TREASURY OPERATIONS,Position,FTE2-Unclassified Positions,2,2,2,0,2,2,0,2
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,10570000-RETURN OF GENERAL FUND DEPOSIT,Expense,254-Escheated Property,4479499,1,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,10570000-RETURN OF GENERAL FUND DEPOSIT,Funding,00S-General Fund,4479499,1,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,80230000-DISTRIBUTION TO MUNICIPALITIES,Expense,248-Meals & Rooms Tax Distribution,130907267,0,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,80230000-DISTRIBUTION TO MUNICIPALITIES,Expense,249-State Revenue Sharing,0,0,0,25216054,25216054,0,25216054,25216054
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,80230000-DISTRIBUTION TO MUNICIPALITIES,Expense,256-Municipal Aid,195556,0,0,0,0,0,0,0
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,80230000-DISTRIBUTION TO MUNICIPALITIES,Funding,008-Agency Income,130907267,0,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,TRS380010-TREASURY OPERATIONS,010-General Fund,80230000-DISTRIBUTION TO MUNICIPALITIES,Funding,00S-General Fund,195556,0,0,25216054,25216054,0,25216054,25216054
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10470000-COLLEGE SAVINGS COMMISSION,Expense,020-Current Expenses,399664,440076,440076,0,440076,457639,0,457639
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10470000-COLLEGE SAVINGS COMMISSION,Expense,026-Organizational Dues,8955,9500,10000,0,10000,10500,0,10500
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10470000-COLLEGE SAVINGS COMMISSION,Expense,027-Transfers To Oit,0,1,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10470000-COLLEGE SAVINGS COMMISSION,Expense,029-Intra-Agency Transfers,75335,72601,86015,0,86015,87312,0,87312
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10470000-COLLEGE SAVINGS COMMISSION,Expense,030-Equipment New/Replacement,0,2,2,0,2,2,0,2
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10470000-COLLEGE SAVINGS COMMISSION,Expense,037-Technology - Hardware,0,1,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10470000-COLLEGE SAVINGS COMMISSION,Expense,038-Technology - Software,110,1,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10470000-COLLEGE SAVINGS COMMISSION,Expense,040-Indirect Costs,423,825,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10470000-COLLEGE SAVINGS COMMISSION,Expense,042-Additional Fringe Benefits,0,1,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10470000-COLLEGE SAVINGS COMMISSION,Expense,049-Transfer to Other State Agenci,0,1,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10470000-COLLEGE SAVINGS COMMISSION,Expense,062-Workers Compensation,0,1,0,0,0,0,0,0
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10470000-COLLEGE SAVINGS COMMISSION,Expense,070-In-State Travel Reimbursement,0,1,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10470000-COLLEGE SAVINGS COMMISSION,Expense,080-Out-Of State Travel,0,1,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10470000-COLLEGE SAVINGS COMMISSION,Expense,107-Scholarships & Grants,13471191,18365575,18352486,0,18352486,18333126,0,18333126
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10470000-COLLEGE SAVINGS COMMISSION,Funding,009-Agency Income,13955678,18888587,18888587,0,18888587,18888587,0,18888587
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10660000-GOVERNOR'S SCHOLARSHIP FUND,Expense,010-Personal Services-Perm. Classi,41636,43069,0,0,0,0,0,0
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10660000-GOVERNOR'S SCHOLARSHIP FUND,Expense,020-Current Expenses,0,650,650,0,650,650,0,650
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10660000-GOVERNOR'S SCHOLARSHIP FUND,Expense,027-Transfers To Oit,4074,2464,0,0,0,0,0,0
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10660000-GOVERNOR'S SCHOLARSHIP FUND,Expense,029-Intra-Agency Transfers,0,0,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10660000-GOVERNOR'S SCHOLARSHIP FUND,Expense,030-Equipment New/Replacement,0,2,0,0,0,0,0,0
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10660000-GOVERNOR'S SCHOLARSHIP FUND,Expense,037-Technology - Hardware,0,400,0,0,0,0,0,0
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10660000-GOVERNOR'S SCHOLARSHIP FUND,Expense,038-Technology - Software,396,703,0,0,0,0,0,0
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10660000-GOVERNOR'S SCHOLARSHIP FUND,Expense,039-Telecommunications,923,1180,0,0,0,0,0,0
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10660000-GOVERNOR'S SCHOLARSHIP FUND,Expense,040-Indirect Costs,0,1,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10660000-GOVERNOR'S SCHOLARSHIP FUND,Expense,042-Additional Fringe Benefits,27,1,1,0,1,1,0,1
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10660000-GOVERNOR'S SCHOLARSHIP FUND,Expense,049-Transfer to Other State Agenci,38,40,0,0,0,0,0,0
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10660000-GOVERNOR'S SCHOLARSHIP FUND,Expense,060-Benefits,19526,20541,0,0,0,0,0,0
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10660000-GOVERNOR'S SCHOLARSHIP FUND,Expense,062-Workers Compensation,0,1,0,0,0,0,0,0
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10660000-GOVERNOR'S SCHOLARSHIP FUND,Expense,066-Employee training,0,1000,0,0,0,0,0,0
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10660000-GOVERNOR'S SCHOLARSHIP FUND,Expense,070-In-State Travel Reimbursement,0,502,500,0,500,500,0,500
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10660000-GOVERNOR'S SCHOLARSHIP FUND,Expense,107-Scholarships & Grants,2302153,2930316,2698847,0,2698847,2698847,0,2698847
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10660000-GOVERNOR'S SCHOLARSHIP FUND,Funding,004-Intra-Agency Transfers,30770,34276,0,0,0,0,0,0
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10660000-GOVERNOR'S SCHOLARSHIP FUND,Funding,009-Agency Income,551393,0,0,0,0,0,0,0
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10660000-GOVERNOR'S SCHOLARSHIP FUND,Funding,00S-General Fund,1786610,2966594,2700000,0,2700000,2700000,0,2700000
01-GENERAL GOVERNMENT,00038-TREASURY DEPT,038-TREASURY DEPT,UNP381010-COLLEGE SAVINGS COMMISSION,010-General Fund,10660000-GOVERNOR'S SCHOLARSHIP FUND,Position,FTE1-Permanent Classified,1,1,0,0,0,0,0,0
01-GENERAL GOVERNMENT,00059-RETIREMENT SYSTEM,059-RETIREMENT SYSTEM,RET590010-NH RETIREMENT SYSTEM,010-General Fund,10510000-ADMINISTRATION,Expense,016-Personal Services Non Classifi,5429489,5823000,7725000,0,7725000,8458100,0,8458100
01-GENERAL GOVERNMENT,00059-RETIREMENT SYSTEM,059-RETIREMENT SYSTEM,RET590010-NH RETIREMENT SYSTEM,010-General Fund,10510000-ADMINISTRATION,Expense,018-Overtime,161922,61800,154500,0,154500,139500,0,139500
01-GENERAL GOVERNMENT,00059-RETIREMENT SYSTEM,059-RETIREMENT SYSTEM,RET590010-NH RETIREMENT SYSTEM,010-General Fund,10510000-ADMINISTRATION,Expense,020-Current Expenses,109096,232075,295875,0,295875,246025,0,246025
01-GENERAL GOVERNMENT,00059-RETIREMENT SYSTEM,059-RETIREMENT SYSTEM,RET590010-NH RETIREMENT SYSTEM,010-General Fund,10510000-ADMINISTRATION,Expense,022-Rents-Leases Other Than State,444163,461000,473200,0,473200,505840,0,505840
01-GENERAL GOVERNMENT,00059-RETIREMENT SYSTEM,059-RETIREMENT SYSTEM,RET590010-NH RETIREMENT SYSTEM,010-General Fund,10510000-ADMINISTRATION,Expense,023-Heat- Electricity - Water,116189,105000,140000,0,140000,165000,0,165000
01-GENERAL GOVERNMENT,00059-RETIREMENT SYSTEM,059-RETIREMENT SYSTEM,RET590010-NH RETIREMENT SYSTEM,010-General Fund,10510000-ADMINISTRATION,Expense,024-Maint.Other Than Build.- Grnds,137568,110000,133000,0,133000,151000,0,151000
01-GENERAL GOVERNMENT,00059-RETIREMENT SYSTEM,059-RETIREMENT SYSTEM,RET590010-NH RETIREMENT SYSTEM,010-General Fund,10510000-ADMINISTRATION,Expense,026-Organizational Dues,24219,27800,37550,0,37550,41600,0,41600
01-GENERAL GOVERNMENT,00059-RETIREMENT SYSTEM,059-RETIREMENT SYSTEM,RET590010-NH RETIREMENT SYSTEM,010-General Fund,10510000-ADMINISTRATION,Expense,030-Equipment New/Replacement,104257,28950,80000,0,80000,82500,0,82500
01-GENERAL GOVERNMENT,00059-RETIREMENT SYSTEM,059-RETIREMENT SYSTEM,RET590010-NH RETIREMENT SYSTEM,010-General Fund,10510000-ADMINISTRATION,Expense,037-Technology - Hardware,272036,212000,142000,0,142000,177000,0,177000
01-GENERAL GOVERNMENT,00059-RETIREMENT SYSTEM,059-RETIREMENT SYSTEM,RET590010-NH RETIREMENT SYSTEM,010-General Fund,10510000-ADMINISTRATION,Expense,038-Technology - Software,2652540,2706000,4146000,0,4146000,3123000,0,3123000
01-GENERAL GOVERNMENT,00059-RETIREMENT SYSTEM,059-RETIREMENT SYSTEM,RET590010-NH RETIREMENT SYSTEM,010-General Fund,10510000-ADMINISTRATION,Expense,039-Telecommunications,46765,60000,72000,0,72000,81000,0,81000
01-GENERAL GOVERNMENT,00059-RETIREMENT SYSTEM,059-RETIREMENT SYSTEM,RET590010-NH RETIREMENT SYSTEM,010-General Fund,10510000-ADMINISTRATION,Expense,040-Indirect Costs,36800,21331,25000,0,25000,25000,0,25000
01-GENERAL GOVERNMENT,00059-RETIREMENT SYSTEM,059-RETIREMENT SYSTEM,RET590010-NH RETIREMENT SYSTEM,010-General Fund,10510000-ADMINISTRATION,Expense,045-Personnel Services/Non Benefit,7236747,59890,75000,0,75000,80000,0,80000
01-GENERAL GOVERNMENT,00059-RETIREMENT SYSTEM,059-RETIREMENT SYSTEM,RET590010-NH RETIREMENT SYSTEM,010-General Fund,10510000-ADMINISTRATION,Expense,046-Consultants,234301,250000,605000,0,605000,565000,0,565000
01-GENERAL GOVERNMENT,00059-RETIREMENT SYSTEM,059-RETIREMENT SYSTEM,RET590010-NH RETIREMENT SYSTEM,010-General Fund,10510000-ADMINISTRATION,Expense,049-Transfer to Other State Agenci,2796,2961,3015,0,3015,3015,0,3015
01-GENERAL GOVERNMENT,00059-RETIREMENT SYSTEM,059-RETIREMENT SYSTEM,RET590010-NH RETIREMENT SYSTEM,010-General Fund,10510000-ADMINISTRATION,Expense,050-Personal Service-Temp/Appointe,936362,25000,549000,0,549000,569000,0,569000
01-GENERAL GOVERNMENT,00059-RETIREMENT SYSTEM,059-RETIREMENT SYSTEM,RET590010-NH RETIREMENT SYSTEM,010-General Fund,10510000-ADMINISTRATION,Expense,"057-Books, Periodicals, Subscripti",0,0,10000,0,10000,10000,0,10000
01-GENERAL GOVERNMENT,00059-RETIREMENT SYSTEM,059-RETIREMENT SYSTEM,RET590010-NH RETIREMENT SYSTEM,010-General Fund,10510000-ADMINISTRATION,Expense,060-Benefits,2708282,3075138,4097733,0,4097733,4517656,0,4517656
01-GENERAL GOVERNMENT,00059-RETIREMENT SYSTEM,059-RETIREMENT SYSTEM,RET590010-NH RETIREMENT SYSTEM,010-General Fund,10510000-ADMINISTRATION,Expense,061-Unemployment Compensation,50,4000,4000,0,4000,4000,0,4000
01-GENERAL GOVERNMENT,00059-RETIREMENT SYSTEM,059-RETIREMENT SYSTEM,RET590010-NH RETIREMENT SYSTEM,010-General Fund,10510000-ADMINISTRATION,Expense,062-Workers Compensation,13060,21818,5600,0,5600,5900,0,5900
01-GENERAL GOVERNMENT,00059-RETIREMENT SYSTEM,059-RETIREMENT SYSTEM,RET590010-NH RETIREMENT SYSTEM,010-General Fund,10510000-ADMINISTRATION,Expense,063-Other personal benefits,604,1000,700,0,700,750,0,750
01-GENERAL GOVERNMENT,00059-RETIREMENT SYSTEM,059-RETIREMENT SYSTEM,RET590010-NH RETIREMENT SYSTEM,010-General Fund,10510000-ADMINISTRATION,Expense,064-Ret-Pension Bene-Health Ins,148840,165200,174000,0,174000,208600,0,208600
01-GENERAL GOVERNMENT,00059-RETIREMENT SYSTEM,059-RETIREMENT SYSTEM,RET590010-NH RETIREMENT SYSTEM,010-General Fund,10510000-ADMINISTRATION,Expense,065-Board Expenses,4221,40000,40000,0,40000,40000,0,40000
01-GENERAL GOVERNMENT,00059-RETIREMENT SYSTEM,059-RETIREMENT SYSTEM,RET590010-NH RETIREMENT SYSTEM,010-General Fund,10510000-ADMINISTRATION,Expense,066-Employee training,67139,85500,169900,0,169900,175500,0,175500
01-GENERAL GOVERNMENT,00059-RETIREMENT SYSTEM,059-RETIREMENT SYSTEM,RET590010-NH RETIREMENT SYSTEM,010-General Fund,10510000-ADMINISTRATION,Expense,069-Promotional - Marketing Expens,0,950,1025,0,1025,1025,0,1025
01-GENERAL GOVERNMENT,00059-RETIREMENT SYSTEM,059-RETIREMENT SYSTEM,RET590010-NH RETIREMENT SYSTEM,010-General Fund,10510000-ADMINISTRATION,Expense,070-In-State Travel Reimbursement,12484,8815,23515,0,23515,23565,0,23565
01-GENERAL GOVERNMENT,00059-RETIREMENT SYSTEM,059-RETIREMENT SYSTEM,RET590010-NH RETIREMENT SYSTEM,010-General Fund,10510000-ADMINISTRATION,Expense,080-Out-Of State Travel,14872,43050,72400,0,72400,72400,0,72400
01-GENERAL GOVERNMENT,00059-RETIREMENT SYSTEM,059-RETIREMENT SYSTEM,RET590010-NH RETIREMENT SYSTEM,010-General Fund,10510000-ADMINISTRATION,Funding,009-Agency Income,20914802,13632278,19255013,0,19255013,19471976,0,19471976
01-GENERAL GOVERNMENT,00059-RETIREMENT SYSTEM,059-RETIREMENT SYSTEM,RET590010-NH RETIREMENT SYSTEM,010-General Fund,10510000-ADMINISTRATION,Funding,00S-General Fund,0,0,0,0,0,0,0,0
01-GENERAL GOVERNMENT,00084-REVENUE ADMINISTRATION DEPT,084-REVENUE ADMINISTRATION DEPT,ADM842010-ADMIN ATTACHED BOARDS,010-General Fund,17000000-CURRENT USE BOARD,Expense,050-Personal Service-Temp/Appointe,325,1050,1000,0,1000,1050,0,1050
01-GENERAL GOVERNMENT,00084-REVENUE ADMINISTRATION DEPT,084-REVENUE ADMINISTRATION DEPT,ADM842010-ADMIN ATTACHED BOARDS,010-General Fund,17000000-CURRENT USE BOARD,Expense,060-Benefits,25,82,79,0,79,82,0,82
01-GENERAL GOVERNMENT,00084-REVENUE ADMINISTRATION DEPT,084-REVENUE ADMINISTRATION DEPT,ADM842010-ADMIN ATTACHED BOARDS,010-General Fund,17000000-CURRENT USE BOARD,Expense,070-In-State Travel Reimbursement,1615,3000,1696,0,1696,1643,0,1643
01-GENERAL GOVERNMENT,00084-REVENUE ADMINISTRATION DEPT,084-REVENUE ADMINISTRATION DEPT,ADM842010-ADMIN ATTACHED BOARDS,010-General Fund,17000000-CURRENT USE BOARD,Funding,00S-General Fund,1965,4132,2775,0,2775,2775,0,2775
01-GENERAL GOVERNMENT,00084-REVENUE ADMINISTRATION DEPT,084-REVENUE ADMINISTRATION DEPT,ADM842010-ADMIN ATTACHED BOARDS,010-General Fund,17200000-ASSESSING STANDARDS BOARD,Expense,050-Personal Service-Temp/Appointe,500,1250,1200,0,1200,1250,0,1250
01-GENERAL GOVERNMENT,00084-REVENUE ADMINISTRATION DEPT,084-REVENUE ADMINISTRATION DEPT,ADM842010-ADMIN ATTACHED BOARDS,010-General Fund,17200000-ASSESSING STANDARDS BOARD,Expense,060-Benefits,38,99,94,0,94,99,0,99
01-GENERAL GOVERNMENT,00084-REVENUE ADMINISTRATION DEPT,084-REVENUE ADMINISTRATION DEPT,ADM842010-ADMIN ATTACHED BOARDS,010-General Fund,17200000-ASSESSING STANDARDS BOARD,Expense,070-In-State Travel Reimbursement,2406,3000,2481,0,2481,2426,0,2426
